"M1(D)","M1(D)[M1(G)=0.00]","M1(D)[M1(G)=1.25]","M1(D)[M1(G)=2.50]","M1(D)[M1(G)=3.75]","M1(D)[M1(G)=5.00]"
4,9.54654e-012,1.5625e-005,6.25e-005,0.000140625,0.00024
4.05,9.66587e-012,1.5625e-005,6.25e-005,0.000140625,0.000240975
4.1,9.7852e-012,1.5625e-005,6.25e-005,0.000140625,0.0002419
4.15,9.90454e-012,1.5625e-005,6.25e-005,0.000140625,0.000242775
4.2,1.00239e-011,1.5625e-005,6.25e-005,0.000140625,0.0002436
4.25,1.01432e-011,1.5625e-005,6.25e-005,0.000140625,0.000244375
4.3,1.02625e-011,1.5625e-005,6.25e-005,0.000140625,0.0002451
4.35,1.03819e-011,1.5625e-005,6.25e-005,0.000140625,0.000245775
4.4,1.05012e-011,1.5625e-005,6.25e-005,0.000140625,0.0002464
4.45,1.06205e-011,1.5625e-005,6.25e-005,0.000140625,0.000246975
4.5,1.07399e-011,1.5625e-005,6.25e-005,0.000140625,0.0002475
4.55,1.08592e-011,1.5625e-005,6.25e-005,0.000140625,0.000247975
4.6,1.09785e-011,1.5625e-005,6.25e-005,0.000140625,0.0002484
4.65,1.10979e-011,1.5625e-005,6.25e-005,0.000140625,0.000248775
4.7,1.12172e-011,1.5625e-005,6.25e-005,0.000140625,0.0002491
4.75,1.13365e-011,1.5625e-005,6.25e-005,0.000140625,0.000249375
4.8,1.14558e-011,1.5625e-005,6.25e-005,0.000140625,0.0002496
4.85,1.15752e-011,1.5625e-005,6.25e-005,0.000140625,0.000249775
4.9,1.16945e-011,1.5625e-005,6.25e-005,0.000140625,0.0002499
4.95,1.18138e-011,1.5625e-005,6.25e-005,0.000140625,0.000249975
5,1.19332e-011,1.5625e-005,6.25e-005,0.000140625,0.00025
